name,date,open,high,low,close,volume
AAPL,2018-04-27 16:00:00,162.4400,162.5700,162.2500,162.3200,1729702
AAPL,2018-04-27 15:59:00,162.4000,162.5000,162.3800,162.4498,280082
AAPL,2018-04-27 15:58:00,162.3900,162.4200,162.2600,162.3900,257417
AAPL,2018-04-27 15:57:00,162.4300,162.4400,162.3200,162.3900,222007
AAPL,2018-04-27 15:56:00,162.4450,162.4550,162.3800,162.4300,127793
AAPL,2018-04-27 15:55:00,162.4950,162.5000,162.4250,162.4450,129225
AAPL,2018-04-27 15:54:00,162.6048,162.6100,162.4600,162.4801,149174
AAPL,2018-04-27 15:53:00,162.5900,162.6800,162.5900,162.6000,186596
AAPL,2018-04-27 15:52:00,162.8200,162.8300,162.5800,162.5950,136563
AAPL,2018-04-27 15:51:00,162.9000,162.9700,162.8200,162.8325,178839
AAPL,2018-04-27 15:50:00,163.1000,163.1050,162.8400,162.9200,164294
AAPL,2018-04-27 15:49:00,163.1150,163.1400,163.0700,163.0900,74946
AAPL,2018-04-27 15:48:00,163.1342,163.1900,163.1100,163.1100,89513
AAPL,2018-04-27 15:47:00,163.1200,163.1900,163.1200,163.1400,68862
AAPL,2018-04-27 15:46:00,163.0100,163.1400,163.0000,163.1200,104220
AAPL,2018-04-27 15:45:00,163.0000,163.0400,162.9700,163.0100,68764
AAPL,2018-04-27 15:44:00,162.9600,163.0100,162.9100,163.0001,52112
AAPL,2018-04-27 15:43:00,162.9700,163.0200,162.8700,162.9650,124040
AAPL,2018-04-27 15:42:00,162.9000,163.0500,162.8850,162.9700,69585
AAPL,2018-04-27 15:41:00,162.9300,162.9600,162.8700,162.8940,60483
AAPL,2018-04-27 15:40:00,162.8900,162.9500,162.8800,162.9400,75898
AAPL,2018-04-27 15:39:00,162.8811,162.8900,162.8000,162.8800,46043
AAPL,2018-04-27 15:38:00,162.8000,162.9000,162.7800,162.8900,93641
AAPL,2018-04-27 15:37:00,162.8100,162.8667,162.7900,162.8000,30817
AAPL,2018-04-27 15:36:00,162.9399,162.9400,162.7900,162.8000,65738
AAPL,2018-04-27 15:35:00,162.9538,162.9700,162.8900,162.9300,52341
AAPL,2018-04-27 15:34:00,162.9500,163.0000,162.9400,162.9500,51523
AAPL,2018-04-27 15:33:00,162.8600,163.0100,162.8300,162.9500,57496
AAPL,2018-04-27 15:32:00,162.7300,162.8800,162.7300,162.8637,41754
AAPL,2018-04-27 15:31:00,162.6500,162.7500,162.6300,162.7298,52677
AAPL,2018-04-27 15:30:00,162.6100,162.6999,162.5700,162.6500,56758
AAPL,2018-04-27 15:29:00,162.6000,162.6262,162.5600,162.6234,40505
AAPL,2018-04-27 15:28:00,162.5700,162.6400,162.5500,162.6000,58607
AAPL,2018-04-27 15:27:00,162.8300,162.8366,162.5500,162.5650,89056
AAPL,2018-04-27 15:26:00,162.8800,162.9100,162.8100,162.8300,27058
